bin,base_bbl,address,construction_year,yearbuilt,bldgclass,landuse,is_apartment,res_units,unitstotal,numbldgs,assesstot,dob_is_apartment,dob_dwelling_units,dob_first_filed,dob_nb_filed,dob_nb_signoff,n_dob_filings,has_dob_record,the_geom_wkt
2008293,2028560045,1345 JEROME AVENUE,1931.0,1931.0,M1,8,False,0.0,1.0,1.0,496350.0,False,0.0,2005-03-08,,,4.0,True,"MULTIPOLYGON (((-73.918716 40.839123, -73.918726 40.839074, -73.918823 40.839102, -73.918896 40.839123, -73.918933 40.839134, -73.919068 40.839173, -73.919196 40.83921, -73.919202 40.839211, -73.919194 40.839226, -73.919124 40.839366, -73.919106 40.839402, -73.919065 40.83939, -73.918984 40.839367, -73.918809 40.839316, -73.918683 40.83928, -73.918711 40.839148, -73.918716 40.839123)))"
2008294,2028560049,1339 JEROME AVENUE,1925.0,1925.0,E9,6,False,0.0,1.0,1.0,558000.0,False,,2013-04-04,,,6.0,True,"MULTIPOLYGON (((-73.918726 40.839074, -73.918815 40.838952, -73.918888 40.838973, -73.918987 40.839002, -73.919087 40.83903, -73.919187 40.839059, -73.919263 40.839081, -73.919264 40.839081, -73.919268 40.839082, -73.91927 40.839083, -73.919352 40.839107, -73.919411 40.839124, -73.91945 40.839135, -73.919537 40.83916, -73.919627 40.839186, -73.919643 40.839191, -73.919586 40.839305, -73.919579 40.83932, -73.919506 40.839299, -73.919417 40.839273, -73.919329 40.839248, -73.919253 40.839226, -73.919202 40.839211, -73.919196 40.83921, -73.919068 40.839173, -73.918933 40.839134, -73.918896 40.839123, -73.918823 40.839102, -73.918726 40.839074)))"
2008295,2028560051,1337 JEROME AVENUE,1920.0,1920.0,O1,5,False,0.0,1.0,1.0,461250.0,False,,,,,,False,"MULTIPOLYGON (((-73.918815 40.838952, -73.918885 40.838857, -73.918904 40.83883, -73.919067 40.838877, -73.919168 40.838906, -73.919251 40.83893, -73.919279 40.838938, -73.919306 40.838946, -73.919327 40.838952, -73.919264 40.839077, -73.919263 40.839081, -73.919187 40.839059, -73.919087 40.83903, -73.918987 40.839002, -73.918888 40.838973, -73.918815 40.838952)))"
2129224,2028560053,,2021.0,,,,False,,,,,True,255.0,2018-06-15,2018-06-15,2023-04-10 00:00:00,26.0,True,"MULTIPOLYGON (((-73.918909 40.838832, -73.919157 40.83847, -73.919232 40.838377, -73.919373 40.838288, -73.91964 40.838523, -73.919606 40.83859, -73.919517 40.838556, -73.919417 40.838693, -73.919389 40.838685, -73.919252 40.83893, -73.918909 40.838832)))"
2130757,2028560141,1351 JEROME AVENUE,2025.0,2024.0,D6,4,True,247.0,249.0,1.0,15632550.0,False,,2023-03-20,2022-05-04,2026-05-14 19:49:21,1.0,True,"MULTIPOLYGON (((-73.918548 40.839611, -73.918644 40.839418, -73.918683 40.83928, -73.919019 40.839378, -73.918888 40.839708, -73.918548 40.839611)))"
2129740,2028570001,1400 CROMWELL AVENUE,2024.0,2023.0,W3,8,False,0.0,1.0,1.0,9632700.0,False,,2012-08-07,2020-12-18,2025-01-24 00:00:00,6.0,True,"MULTIPOLYGON (((-73.919599 40.840934, -73.919411 40.841189, -73.91923 40.841111, -73.919354 40.840941, -73.919192 40.840872, -73.919065 40.84104, -73.918875 40.840958, -73.919031 40.840768, -73.919599 40.840934)))"
2130572,2028570024,CROMWELL AVENUE,2023.0,0.0,G6,10,False,0.0,0.0,0.0,15368.0,False,,2021-02-11,2021-02-11,,5.0,True,"MULTIPOLYGON (((-73.918147 40.842218, -73.918136 40.841897, -73.918322 40.841986, -73.918695 40.842151, -73.918643 40.842219, -73.918412 40.842208, -73.918391 40.842234, -73.918147 40.842218)))"
2008301,2028570028,1485 MACOMBS ROAD,1937.0,1937.0,D1,3,True,49.0,49.0,1.0,624150.0,True,49.0,2003-08-08,,,4.0,True,"MULTIPOLYGON (((-73.918163 40.842623, -73.918157 40.842513, -73.918173 40.842513, -73.918171 40.84245, -73.918155 40.84245, -73.918152 40.842359, -73.918264 40.842365, -73.918262 40.842387, -73.918295 40.842389, -73.918297 40.842367, -73.918328 40.842369, -73.918497 40.842378, -73.918521 40.842389, -73.918451 40.84248, -73.918427 40.842469, -73.918409 40.842493, -73.918421 40.842499, -73.918373 40.842562, -73.918361 40.842557, -73.918342 40.842582, -73.918366 40.842592, -73.918297 40.842682, -73.918284 40.842677, -73.918163 40.842623)))"
2008302,2028570043,1447 INWOOD AVENUE,1925.0,1925.0,G2,7,False,0.0,1.0,1.0,143550.0,False,,2001-02-15,,,4.0,True,"MULTIPOLYGON (((-73.9182 40.841765, -73.91831 40.841818, -73.918419 40.84187, -73.918322 40.841986, -73.918203 40.841929, -73.918136 40.841897, -73.918134 40.841844, -73.9182 40.841765)))"
2008306,2028570064,25 WEST 170 STREET,1930.0,1930.0,G9,7,False,0.0,5.0,1.0,807750.0,False,,2002-04-09,,,7.0,True,"MULTIPOLYGON (((-73.918187 40.840967, -73.918205 40.840931, -73.918219 40.840904, -73.918258 40.840915, -73.918269 40.840914, -73.918342 40.840907, -73.918385 40.84082, -73.918421 40.840748, -73.918427 40.84075, -73.918459 40.840685, -73.918481 40.840641, -73.918491 40.840621, -73.918504 40.840624, -73.918599 40.840652, -73.918706 40.840682, -73.918817 40.840714, -73.918819 40.840715, -73.918512 40.841083, -73.918491 40.841108, -73.918485 40.841105, -73.91839 40.841061, -73.918294 40.841017, -73.918198 40.840972, -73.918187 40.840967)))"
2008307,2028570071,1430 INWOOD AVENUE,1928.0,1928.0,G9,7,False,0.0,2.0,1.0,1469700.0,True,20.0,2006-10-05,,,8.0,True,"MULTIPOLYGON (((-73.918187 40.840967, -73.918198 40.840972, -73.918294 40.841017, -73.91839 40.841061, -73.918485 40.841105, -73.918491 40.841108, -73.918292 40.841343, -73.91824 40.841317, -73.918147 40.84127, -73.918054 40.841223, -73.917992 40.841192, -73.918139 40.841022, -73.918187 40.840967)))"
2008308,2028570077,1447 MACOMBS ROAD,1927.0,1927.0,C1,2,True,53.0,53.0,1.0,1156950.0,True,53.0,2011-10-24,,,12.0,True,"MULTIPOLYGON (((-73.91785 40.841359, -73.917892 40.84131, -73.917917 40.841322, -73.917953 40.841279, -73.917988 40.841237, -73.918016 40.841251, -73.918098 40.841291, -73.918073 40.841321, -73.918058 40.841339, -73.918099 40.841359, -73.918144 40.841305, -73.918214 40.841339, -73.918273 40.841368, -73.918209 40.841444, -73.918035 40.841653, -73.91802 40.84165, -73.918005 40.841626, -73.917949 40.841533, -73.917948 40.841532, -73.91795 40.841532, -73.917982 40.841523, -73.918035 40.84146, -73.918062 40.841428, -73.918012 40.841404, -73.917953 40.841475, -73.917922 40.841484, -73.917898 40.841444, -73.91785 40.841359)))"
