bin,base_bbl,input_list,resolution,last_status_type,address,construction_year,yearbuilt,bldgclass,landuse,is_apartment,res_units,unitstotal,numbldgs,assesstot,dob_is_apartment,dob_dwelling_units,dob_nb_filed,dob_nb_signoff,n_dob_filings,has_dob_record,the_geom_wkt
3038833,3014440041,unverified,block_expanded,Constructed,1697 EAST NEW YORK AVENUE,1901.0,1901.0,S1,4,False,1.0,2.0,2.0,40680.0,False,1.0,,,4.0,True,"MULTIPOLYGON (((-73.905593 40.674793, -73.905529 40.674709, -73.905602 40.674676, -73.905693 40.674795, -73.905669 40.674805, -73.905659 40.674792, -73.905609 40.674814, -73.905593 40.674793)))"
3379454,3014440041,unverified,block_expanded,Constructed,1697 EAST NEW YORK AVENUE,1901.0,1901.0,S1,4,False,1.0,2.0,2.0,40680.0,False,,,,,False,"MULTIPOLYGON (((-73.905694 40.674864, -73.90574 40.674848, -73.905761 40.674882, -73.905771 40.674899, -73.905738 40.674911, -73.905715 40.674887, -73.905694 40.674864)))"
3426099,3014440042,unverified,block_expanded,Constructed,1691 EAST NEW YORK AVENUE,,2015.0,H3,5,False,0.0,62.0,1.0,3022650.0,True,62.0,2014-05-08,2018-07-02 00:00:00,5.0,True,"MULTIPOLYGON (((-73.905611 40.674688, -73.905643 40.674673, -73.905638 40.674666, -73.905832 40.674581, -73.905945 40.674587, -73.905936 40.674697, -73.905901 40.674695, -73.90585 40.674718, -73.905855 40.674723, -73.905692 40.674795, -73.905611 40.674688)))"
3038835,3014440048,unverified,block_expanded,Constructed,2451 DEAN STREET,1927.0,1927.0,S2,4,False,2.0,3.0,1.0,59760.0,False,2.0,,,2.0,True,"MULTIPOLYGON (((-73.905927 40.6748, -73.90594 40.674648, -73.905946 40.674584, -73.906017 40.674588, -73.906007 40.67471, -73.905999 40.674804, -73.905927 40.6748)))"
3038836,3014440049,unverified,block_expanded,Constructed,2449 DEAN STREET,1927.0,1927.0,S2,4,False,2.0,3.0,1.0,59760.0,False,2.0,,,2.0,True,"MULTIPOLYGON (((-73.906005 40.674725, -73.906007 40.67471, -73.906017 40.674588, -73.906089 40.674592, -73.906078 40.674729, -73.906005 40.674725)))"
3426643,3014500001,unverified,listed_lot,,2171 BERGEN STREET,2020.0,2019.0,D6,4,True,41.0,42.0,1.0,3095100.0,True,41.0,2019-02-19,2021-05-28 00:00:00,9.0,True,"MULTIPOLYGON (((-73.908239 40.674098, -73.908087 40.674092, -73.908093 40.674008, -73.90795 40.674, -73.907943 40.674083, -73.907875 40.67408, -73.90789 40.673904, -73.90825 40.673924, -73.908239 40.674098)))"
3038961,3014500004,unverified,listed_lot,Constructed,215 MOTHER GASTON BLVD,1910.0,1910.0,C2,2,True,6.0,6.0,1.0,444600.0,True,7.0,,,10.0,True,"MULTIPOLYGON (((-73.907934 40.674102, -73.907935 40.674086, -73.908236 40.674098, -73.908239 40.674098, -73.908234 40.674165, -73.90823 40.674165, -73.90819 40.674163, -73.908165 40.674162, -73.908166 40.674145, -73.907931 40.674136, -73.907934 40.674102)))"
3337903,3014500005,unverified,listed_lot,Constructed,209 MOTHER GASTON BLVD,1921.0,1921.0,S2,4,False,2.0,3.0,1.0,35580.0,False,,,,,False,"MULTIPOLYGON (((-73.907859 40.674265, -73.90787 40.674147, -73.90804 40.674156, -73.908034 40.674222, -73.908222 40.674232, -73.908217 40.674284, -73.907859 40.674265)))"
3038968,3014500017,unverified,listed_lot,Constructed,2412 DEAN STREET,1899.0,1899.0,B9,1,False,2.0,2.0,1.0,53640.0,False,,,,,False,"MULTIPOLYGON (((-73.907394 40.674451, -73.907404 40.674348, -73.907444 40.67435, -73.907452 40.674267, -73.907495 40.674269, -73.907477 40.674456, -73.907394 40.674451)))"
3038969,3014500018,unverified,listed_lot,Constructed,2414 DEAN STREET,1920.0,1920.0,B2,1,False,2.0,2.0,1.0,45420.0,False,,,,,False,"MULTIPOLYGON (((-73.907332 40.674448, -73.90734 40.674365, -73.907341 40.674352, -73.907346 40.674298, -73.907399 40.674301, -73.907408 40.674301, -73.907404 40.674348, -73.907394 40.674451, -73.907332 40.674448)))"
3038970,3014500019,unverified,listed_lot,Constructed,2416 DEAN STREET,1925.0,1925.0,B9,1,False,2.0,2.0,1.0,23340.0,False,,,,,False,"MULTIPOLYGON (((-73.907263 40.674449, -73.907263 40.674448, -73.907273 40.674348, -73.907274 40.674333, -73.907275 40.67433, -73.907302 40.674331, -73.9073 40.674348, -73.9073 40.67435, -73.907303 40.67435, -73.907341 40.674352, -73.90734 40.674365, -73.907332 40.674448, -73.907331 40.674453, -73.907265 40.674449, -73.907263 40.674449)))"
3038971,3014500020,unverified,listed_lot,Constructed,2418 DEAN STREET,1910.0,1910.0,A5,1,False,1.0,1.0,1.0,37140.0,False,,,,,False,"MULTIPOLYGON (((-73.907188 40.674445, -73.907188 40.674442, -73.907198 40.674344, -73.907273 40.674348, -73.907263 40.674448, -73.907263 40.674449, -73.907188 40.674445)))"
3038972,3014500021,unverified,listed_lot,Constructed,2422 DEAN STREET,1910.0,1910.0,B9,1,False,2.0,2.0,1.0,39180.0,False,2.0,,,1.0,True,"MULTIPOLYGON (((-73.907114 40.674441, -73.907122 40.674355, -73.90715 40.674357, -73.907154 40.674321, -73.9072 40.674323, -73.907198 40.674344, -73.907188 40.674442, -73.907188 40.674445, -73.907184 40.674445, -73.907114 40.674441)))"
3038973,3014500022,unverified,listed_lot,Constructed,2424 DEAN STREET,1920.0,1920.0,C0,2,True,3.0,3.0,1.0,85440.0,True,3.0,,,1.0,True,"MULTIPOLYGON (((-73.907122 40.674355, -73.907114 40.674441, -73.907049 40.674437, -73.907061 40.67431, -73.907126 40.674313, -73.907122 40.674355)))"
3038974,3014500023,unverified,listed_lot,Constructed,2426 DEAN STREET,1901.0,1901.0,A9,1,False,1.0,1.0,1.0,34440.0,False,,,,,False,"MULTIPOLYGON (((-73.906974 40.674426, -73.906981 40.674327, -73.907028 40.674329, -73.907026 40.674358, -73.907043 40.674359, -73.907038 40.674428, -73.907029 40.674428, -73.907014 40.674427, -73.906974 40.674426)))"
3038975,3014500025,unverified,listed_lot,Constructed,2432 DEAN STREET,1927.0,1927.0,E1,6,False,0.0,1.0,1.0,162450.0,False,,,,1.0,True,"MULTIPOLYGON (((-73.906766 40.674305, -73.906896 40.674259, -73.906917 40.674295, -73.906902 40.67444, -73.906754 40.674432, -73.906766 40.674305)))"
3038976,3014500027,unverified,listed_lot,Constructed,1669 EAST NEW YORK AVENUE,1901.0,1901.0,A9,1,False,1.0,1.0,1.0,46440.0,False,,,,,False,"MULTIPOLYGON (((-73.906625 40.674227, -73.90668 40.674204, -73.906756 40.674311, -73.906701 40.674334, -73.906625 40.674227)))"
3038977,3014500028,unverified,listed_lot,Constructed,1671 EAST NEW YORK AVENUE,1927.0,1927.0,E9,6,False,0.0,1.0,1.0,78750.0,False,,,,,False,"MULTIPOLYGON (((-73.906695 40.674331, -73.906685 40.67444, -73.906685 40.674441, -73.90661 40.674437, -73.906611 40.674435, -73.906612 40.674424, -73.90662 40.674337, -73.906561 40.674258, -73.906625 40.674227, -73.906694 40.674324, -73.906695 40.674331)))"
3337904,3014500029,unverified,listed_lot,Constructed,1675 EAST NEW YORK AVENUE,1926.0,1926.0,F5,6,False,0.0,1.0,1.0,66150.0,False,0.0,,,1.0,True,"MULTIPOLYGON (((-73.906482 40.674417, -73.90649 40.67433, -73.906467 40.674299, -73.906561 40.674258, -73.90662 40.674337, -73.906612 40.674424, -73.906482 40.674417)))"
3337905,3014500042,unverified,listed_lot,Constructed,1649 EAST NEW YORK AVENUE,1927.0,1927.0,G2,7,False,0.0,1.0,2.0,107550.0,False,,,,,False,"MULTIPOLYGON (((-73.907169 40.674184, -73.907297 40.674129, -73.907349 40.6742, -73.907355 40.674208, -73.907205 40.674232, -73.907169 40.674184)))"
3417463,3014500042,unverified,listed_lot,Constructed,1649 EAST NEW YORK AVENUE,1927.0,1927.0,G2,7,False,0.0,1.0,2.0,107550.0,False,,,,,False,"MULTIPOLYGON (((-73.907139 40.674002, -73.907191 40.673982, -73.907225 40.674033, -73.907173 40.674053, -73.907139 40.674002)))"
3038980,3014500045,unverified,listed_lot,Constructed,1645 EAST NEW YORK AVENUE,1901.0,1901.0,G2,7,False,0.0,1.0,1.0,95400.0,False,,,,,False,"MULTIPOLYGON (((-73.907396 40.674031, -73.907331 40.674046, -73.907317 40.67403, -73.907291 40.673998, -73.907256 40.673956, -73.90726 40.673954, -73.907313 40.673928, -73.907318 40.673926, -73.907318 40.673927, -73.907321 40.67393, -73.907371 40.673906, -73.907374 40.673904, -73.907376 40.673913, -73.907388 40.673965, -73.907389 40.673971, -73.907395 40.673998, -73.907399 40.674015, -73.907396 40.674031)))"
3038981,3014500047,unverified,listed_lot,Constructed,2197 BERGEN STREET,1901.0,1901.0,C0,2,True,3.0,3.0,1.0,66180.0,True,3.0,,,1.0,True,"MULTIPOLYGON (((-73.907395 40.673998, -73.907389 40.673971, -73.907374 40.673904, -73.907428 40.673882, -73.907461 40.673883, -73.907452 40.673978, -73.907449 40.674008, -73.907448 40.674018, -73.907399 40.674015, -73.907395 40.673998)))"
