bbl,address,bldgclass,landuse,yearbuilt,unitsres,unitstotal,numbldgs,assesstot,latitude,longitude,source
2025060005,1174 SHAKESPEARE AVENUE,K1,5,1931,0,3,1,122400.0,40.8359754,-73.9232207,on a listed block
2025060031,1224 SHAKESPEARE AVENUE,A5,1,1907,1,1,1,30720.0,40.8376166,-73.9230237,on a listed block
2025060032,1228 SHAKESPEARE AVENUE,A5,1,1907,1,1,1,31260.0,40.8376797,-73.9230344,on a listed block
2025060001,1171 JEROME AVENUE,K1,5,1925,0,10,1,1051200.0,40.8358463,-73.9231703,on a listed block
2025060010,1190 SHAKESPEARE AVENUE,D1,3,1929,80,80,1,1671750.0,40.8363129,-73.9230613,on a listed block
2025060022,1214 SHAKESPEARE AVENUE,D1,3,1926,43,43,1,869400.0,40.8370868,-73.9230243,on a listed block
2025060033,1234 SHAKESPEARE AVENUE,C1,2,1925,38,38,1,964350.0,40.837924,-73.923045,on a listed block
2025060016,1204 SHAKESPEARE AVENUE,D1,3,1926,67,67,1,1581750.0,40.836763,-73.9230427,on a listed block
2025060040,EDWARD L GRANT HWY,G7,10,0,0,0,0,1262250.0,40.837803,-73.9227452,on a listed block
2025060131,1226 SHAKESPEARE AVENUE,A5,1,1907,1,1,1,34800.0,40.8376468,-73.9230128,on a listed block
2025060024,1220 SHAKESPEARE AVENUE,D1,3,1927,59,59,1,1441800.0,40.8374162,-73.9230239,on a listed block
2031980075,16 WEST 184 STREET,B3,1,1901,2,2,1,41340.0,40.8606326,-73.9033197,on a listed block
2025060115,1292 SHAKESPEARE AVENUE,C0,2,2006,3,3,1,80940.0,40.839595,-73.9222046,on a listed block
2025060119,1300 SHAKESPEARE AVENUE,C0,2,1901,3,3,1,45540.0,40.839831,-73.9221754,on a listed block
2025060160,1304 SHAKESPEARE AVENUE,B1,1,1901,2,2,1,45240.0,40.8399435,-73.9221608,on a listed block
2025060117,1296 SHAKESPEARE AVENUE,C0,2,1901,3,3,1,44580.0,40.839724,-73.92219,on a listed block
