Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,Latitude,Longitude,CommntyDst,CouncilDst,NTA2020,NTAName20,hdb_completed,hdb_address,excluded_via
X01285063,Demolition,1. Filed Application,2014241,2031980014,2,2310,GRAND AVENUE,,,1.0,0,-1.0,,2025-10-30,,,1 Family,Full demolition to a two story house,40.86046047274187,-73.90457507005777,207,14,BX0701,University Heights (North)-Fordham,False,2310 GRAND AVENUE,bbl_block
X01314575,New Building,1. Filed Application,2008281,2028550028,2,1261,JEROME AVENUE,,,0.0,23,23.0,,2025-12-10,,,Other,NEW BUILDING.   APPLICATION HEREWITH FILED FOR NEW 12 STORY 23 FAMILY APARTMENT BUILDING. AS PER PLANS.,40.83741857337265,-73.92095014866489,204,16,BX0403,Mount Eden-Claremont (West),False,1261 JEROME AVENUE,bbl
X00980633,Alteration,2. Approved Application,2008140,2028460037,2,1575,TOWNSEND AVENUE,,,49.0,46,-3.0,,2024-01-10,,,Other,INTERIOR RENOVATION OF EXISTING BUILDING. NEW FINISHES REPLACEMENT OF WINDOWS & DOORS. REPLACEMENT OF KITCHEN & BATHROOM FIXTURES. NEW LED INTERIOR & EXTERIOR LIGHTING. MINOR MASONRY REPAIR & MINOR FACADE WORK. ROOF/BULKHEAD/PARAPET WORK.,40.843896124094144,-73.91425437895961,204,16,BX0403,Mount Eden-Claremont (West),False,1575 TOWNSEND AVENUE,bbl_block
X01312591,Alteration,1. Filed Application,2008700,2028720261,2,1586,JESUP AVENUE,,,2.0,9,7.0,,2025-11-04,,,Other,PROPOSED INTERIOR RENOVATION CONVERTING EXISTING 2 STORY AND BASEMENT INTO A 9 UNIT RESIDENTIAL BUILDING,40.84549911780909,-73.91806990952566,205,14,BX0501,University Heights (South)-Morris Heights,False,1586 JESUP AVENUE,bbl_block
X08008823,New Building,3. Permitted for Construction,2008284,2028550051,2,1298,INWOOD AVENUE,,2024.0,0.0,0,0.0,,2022-10-12,2024-06-06,,Other,Herewith Filing Fifteen (15) Story New Building Building as per plans. Primary Use Group 3 - Non Profit w/ Sleeping Accommodations with Use Group 3 Daycare and Use Group 4 - Community Facility a the Ground Floor.,40.83821,-73.920002,204,16,BX0403,Mount Eden-Claremont (West),False,1298 INWOOD AVENUE,bbl
X08030027,New Building,3. Permitted for Construction,2817787,2031950021,2,30,WEST 182 STREET,,2023.0,0.0,11,11.0,,2023-01-30,2023-07-20,,Other,CONSTRUCTION OF A 7-STORY RESIDENTIAL NEW BUILDING.,40.857311,-73.906083,205,14,BX0501,University Heights (South)-Morris Heights,False,30 WEST 182 STREET,bbl_block
201043049,Alteration,5. Completed Construction,2008650,2028720028,2,1427,JESUP AVENUE,2010.0,2008.0,3.0,3,0.0,3.0,2006-03-23,2008-06-25,2010-07-20,C0,,40.841887602289454,-73.92055627946735,204,16,BX0403,Mount Eden-Claremont (West),True,1427 JESUP AVENUE,bbl_block
201105874,Alteration,5. Completed Construction,2118417,2031950174,2,7,CLINTON PLACE,2019.0,2007.0,2.0,2,0.0,2.0,2007-02-06,2007-06-07,2019-04-12,B3,PROPOSED ALT. I TO CHANGE METES AND BOUNDS  EXIST. TWO STORY AND BASEMEN BUILDING TWO FAMILY DWLLG. PARTIAL DEMO FILLED IN THIS APPLICATION.,40.8568224980854,-73.9055986772155,205,14,BX0501,University Heights (South)-Morris Heights,True,7 CLINTON PLACE,bbl_block
201106196,New Building,5. Completed Construction,2118416,2031950074,2,5,CLINTON PLACE,2019.0,2007.0,0.0,3,3.0,3.0,2007-02-07,2007-07-17,2019-05-23,C0,,40.85679157620552,-73.90550764862886,205,14,BX0501,University Heights (South)-Morris Heights,True,5 CLINTON PLACE,bbl_block
201091576,Alteration,5. Completed Construction,2008381,2028620003,2,43,WEST 177 STREET,2021.0,2007.0,2.0,3,1.0,3.0,2006-11-24,2007-01-02,2021-01-21,C0,"CONVERTING FROM 2 FAMILIES TO 3 FAMILIES. RESTORE EXTERIOR MASONRY AND BRICK WALL AT THIRD FLOOR,WITH NO ATTIC AND BUILD NEW ROOF OBTAIN NEW C OF O.",40.8506028557931,-73.91184887891582,205,14,BX0501,University Heights (South)-Morris Heights,True,43 WEST 177 STREET,bbl_block
210178225,New Building,5. Completed Construction,2129224,2028567501,2,1325,JEROME AVENUE,2021.0,2019.0,0.0,255,255.0,255.0,2018-06-15,2019-04-18,2021-05-24,R0,,40.83861707617746,-73.91926744988228,204,16,BX0403,Mount Eden-Claremont (West),True,1325 JEROME AVENUE,bbl_block
210025836,New Building,5. Completed Construction,2124719,2031960052,2,2254,GRAND AVENUE,2016.0,2008.0,0.0,3,3.0,3.0,2007-12-06,2008-04-24,2016-03-08,C0,,40.85849817016023,-73.905731779176,205,14,BX0501,University Heights (South)-Morris Heights,True,2254 GRAND AVENUE,bbl_block
210032016,New Building,5. Completed Construction,2120514,2028720007,2,1382,SHAKESPEARE AVENUE,2010.0,2008.0,0.0,127,127.0,127.0,2008-01-23,2008-07-01,2010-08-20,D1,,40.84186483183985,-73.92109710189096,204,16,BX0403,Mount Eden-Claremont (West),True,1382 SHAKESPEARE AVENUE,bbl_block
210182176,Alteration,5. Completed Construction,2008696,2028720230,2,1543,JESUP AVENUE,2023.0,2021.0,3.0,21,18.0,21.0,2020-11-09,2021-02-10,2023-04-26,C1,"TO BE ENLARGED VERTICALLY TO A 5 STORY AND PENTHOUSE, 21-UNIT RESIDENTIAL BUILDING WITH NO ON-SITE PARKING_AND THE FOLLOWING IN CONJUNCTION JOB #'S ST- X00440376, FN - X00440370, MH - X00440367, PL/SP X00440359.",40.84458374312769,-73.91878070204572,204,16,BX0403,Mount Eden-Claremont (West),True,1543 JESUP AVENUE,bbl_block
210182283,New Building,5. Completed Construction,2014087,2031870036,2,2351,WALTON AVENUE,2023.0,2021.0,0.0,61,61.0,61.0,2020-12-03,2021-05-26,2023-02-27,D1,,40.8600002764684,-73.9020821456303,205,14,BX0503,Fordham Heights,True,2351 WALTON AVENUE,bbl_block
210182390,New Building,5. Completed Construction,2131166,2028720071,2,1436,JESUP AVENUE,2025.0,2023.0,0.0,49,49.0,49.0,2021-01-25,2023-01-17,2025-01-23,D1,,40.84192258093447,-73.91992491608903,204,16,BX0403,Mount Eden-Claremont (West),True,1436 JESUP AVENUE,bbl_block
210182461,New Building,5. Completed Construction,2130902,2028720274,2,1548,JESUP AVENUE,2023.0,2022.0,0.0,10,10.0,10.0,2021-02-22,2022-03-29,2023-07-14,C1,,40.84461414828486,-73.91821806333584,204,16,BX0403,Mount Eden-Claremont (West),True,1548 JESUP AVENUE,bbl_block
210182470,New Building,5. Completed Construction,2130658,2028720275,2,1546,JESUP AVENUE,2023.0,2022.0,0.0,10,10.0,10.0,2021-02-22,2022-03-29,2023-07-14,C1,,40.84456162140711,-73.91822740712051,204,16,BX0403,Mount Eden-Claremont (West),True,1546 JESUP AVENUE,bbl_block
210182498,New Building,5. Completed Construction,2130659,2028720273,2,1550,JESUP AVENUE,2023.0,2022.0,0.0,16,16.0,16.0,2021-02-23,2022-03-29,2023-07-03,,,40.84466461652806,-73.9181371182918,204,16,BX0403,Mount Eden-Claremont (West),True,1550 JESUP AVENUE,bbl_block
210179634,New Building,5. Completed Construction,2129668,2028720148,2,1544,SHAKESPEARE AVENUE,2024.0,2021.0,0.0,116,116.0,116.0,2019-05-29,2021-06-22,2024-01-09,D7,,40.84577141884002,-73.91897249098476,205,14,BX0501,University Heights (South)-Morris Heights,True,1544 SHAKESPEARE AVENUE,bbl_block
210180819,New Building,3. Permitted for Construction,2130777,2028650134,2,1600,MACOMBS ROAD,,2024.0,0.0,244,244.0,,2020-02-13,2024-09-06,,V0,,40.845808,-73.916465,205,14,BX0501,University Heights (South)-Morris Heights,False,1600 MACOMBS ROAD,bbl_block
210180828,New Building,5. Completed Construction,2130750,2028650160,2,1600,GRAND AVENUE,2025.0,2022.0,0.0,326,326.0,326.0,2020-02-18,2022-06-21,2025-04-24,D1,,40.846168,-73.916454,205,14,BX0501,University Heights (South)-Morris Heights,True,1600 GRAND AVENUE,bbl_block
220102902,New Building,5. Completed Construction,2117719,2028720300,2,1482,JESUP AVENUE,2012.0,2011.0,0.0,3,3.0,3.0,2011-02-02,2011-05-10,2012-02-10,C0,,40.84299853932957,-73.91909397629163,204,16,BX0403,Mount Eden-Claremont (West),True,1482 JESUP AVENUE,bbl_block
220102911,New Building,5. Completed Construction,2119009,2028720301,2,1480,JESUP AVENUE,2012.0,2011.0,0.0,3,3.0,3.0,2011-02-02,2011-05-10,2012-02-07,C0,,40.84295387127624,-73.91912714641703,204,16,BX0403,Mount Eden-Claremont (West),True,1480 JESUP AVENUE,bbl_block
220151323,New Building,5. Completed Construction,2129079,2031790060,2,2065,WALTON AVENUE,2018.0,2015.0,0.0,90,90.0,90.0,2014-07-08,2015-06-01,2018-06-05,D1,,40.85396692565056,-73.90629856721552,205,14,BX0502,Mount Hope,True,2065 WALTON AVENUE,bbl_block
220151804,Alteration,5. Completed Construction,2003082,2025060044,2,1263,EDWARD L GRANT HIGHWAY,2022.0,2017.0,0.0,0,0.0,79.0,2015-06-01,2017-02-03,2022-01-07,H4,,40.837348476629664,-73.92268985175949,204,16,BX0402,Highbridge,True,1263 EDWARD L GRANT HIGHWAY,bbl
220166371,Alteration,5. Completed Construction,2014221,2031960079,2,12,WEST 183 STREET,2015.0,2013.0,2.0,2,0.0,2.0,2012-07-09,2013-04-11,2015-02-03,K9,"APPLICATION FILE TO CHANGE THE C OF O 1ST FLOOR CONVERT FROM CHURCH TO COMMERCIAL STORE. (USE GROUP 6) NO WORK UNDER THIS APPLICATION, WORK DONE WITH THE JOB NUMBER 220135486, OBTAINING NEW C OF O.THE HOUSE HAVE EXISTING C OF O NO-51193 DATE APRIL 22 1977",40.85837646641375,-73.90454301080742,205,14,BX0503,Fordham Heights,True,12 WEST 183 STREET,bbl_block
220357423,New Building,5. Completed Construction,2124607,2028620006,2,74,WEST TREMONT AVENUE,2017.0,2014.0,0.0,34,34.0,34.0,2014-02-04,2014-07-03,2017-01-04,D7,CONSTRUCT NEW APT BLDG,40.85089303672584,-73.9119245373502,205,14,BX0501,University Heights (South)-Morris Heights,True,74 WEST TREMONT AVENUE,bbl_block
220178260,New Building,5. Completed Construction,2128908,2031860076,2,2247,WALTON AVENUE,2017.0,2015.0,0.0,50,50.0,50.0,2012-04-06,2015-04-24,2017-05-03,D1,,40.85751135381974,-73.90357525486885,205,14,BX0503,Fordham Heights,True,2247 WALTON AVENUE,bbl_block
220393287,New Building,5. Completed Construction,2124683,2025060111,2,1282,SHAKESPEARE AVENUE,2017.0,2015.0,0.0,60,60.0,60.0,2014-07-09,2015-06-24,2017-08-28,D3,"CONSTRUCTION OF A NEW NINE-STORY BUILDING AND CELLAR PAA FILED TO REFLECT REAR YARD RE-DESIGN: RELOCATION OF PLANTERS, REAR PERIMET ER WALL WAS MOVED 8' FROM THE PROPERTY LINE. STRUCTURAL CALCULATIONS SHOWN AS PER COMMENTS MADE BY EXCAVATION UNIT. REVISED SCHEDULE B. NO CHANGE TO EGRESS, USE OR OCCUPANCY.",40.8394206163424,-73.92227229964872,204,16,BX0402,Highbridge,True,1282 SHAKESPEARE AVENUE,bbl_block
220321471,Demolition,5. Completed Construction,2128908,2031860076,2,2247,WALTON AVENUE,2013.0,2013.0,2.0,0,-2.0,,2013-07-18,2013-10-28,2013-10-28,D1,"FULL DEMOLITION OF 2 1/2 STORY WOOD FRAME STRUCTURE, USING MECHANICAL MEANS.",40.85751135381974,-73.90357525486885,205,14,BX0503,Fordham Heights,True,2247 WALTON AVENUE,bbl_block
220321480,Demolition,5. Completed Construction,2128908,2031860076,2,2203,WALTON AVENUE,2013.0,2013.0,2.0,0,-2.0,,2013-07-18,2013-10-28,2013-10-28,D1,FULL DEMOLITION OF ONE STORY WOODEN STRUCTURE USING HAND TOOLS ONLY.,40.85751557208801,-73.90361050745275,205,14,BX0503,Fordham Heights,True,2203 WALTON AVENUE,bbl_block
220225584,Demolition,5. Completed Construction,2091247,2025060081,2,1256,SHAKESPEARE AVENUE,2012.0,2012.0,3.0,0,-3.0,,2012-08-03,2012-08-27,2012-08-27,C1,COMPLETE DEMO AND REMOVAL AND BACK FIL,40.838511,-73.922719,204,16,BX0402,Highbridge,True,1256 SHAKESPEARE AVENUE,bbl_block
220465182,Demolition,5. Completed Construction,2129190,2028650122,2,29,FEATHERBED LANE,2016.0,2016.0,1.0,0,-1.0,,2015-07-30,2016-03-25,2016-03-25,D1,FULL DEMOLITION OF A 2-STORY HOUSE.  DEMO FILED IN CONJUNCTION WITH JOB #220465191.,40.846117,-73.914961,205,14,BX0501,University Heights (South)-Morris Heights,True,29 FEATHERBED LANE,bbl_block
220457805,Alteration,5. Completed Construction,2008383,2028620008,2,62,WEST TREMONT AVENUE,2023.0,2015.0,87.0,90,3.0,90.0,2015-05-15,2015-06-24,2023-07-14,C1,PROPOSE TO REHAB EXISTING RESIDENTIAL BUILDING. CHANGE NUMBER OF DWELLING UNITS FROM 87 TO 90. CONVERT EXISTING RETAIL STORES TO RESIDENTIAL ACCESSORY USE. COMMUNITY ROOM AND BUILDING OFFICE.,40.85112467368941,-73.91171804630709,205,14,BX0501,University Heights (South)-Morris Heights,True,62 WEST TREMONT AVENUE,bbl_block
220522682,New Building,5. Completed Construction,2129283,2025060100,2,1285,EDWARD L G HIGHWAY,2022.0,2017.0,0.0,29,29.0,29.0,2016-07-08,2017-10-30,2022-11-29,D1,,40.83851899806258,-73.92224866962857,204,16,BX0402,Highbridge,True,1285 EDWARD L G HIGHWAY,bbl_block
220238874,Demolition,5. Completed Construction,2014218,2031960069,2,33,BUCHANAN PLACE,2013.0,2013.0,2.0,0,-2.0,,2012-10-24,2013-02-28,2013-02-28,V0,DEMOLITION OF PARTIALLY COLLAPSED 3 STORY STRUCTURE,40.858373,-73.905532,205,14,BX0501,University Heights (South)-Morris Heights,True,33 BUCHANAN PLACE,bbl_block
220586248,Demolition,5. Completed Construction,2129190,2028650122,2,31,FEATHERBED LANE,2017.0,2017.0,1.0,0,-1.0,,2017-06-15,2017-08-25,2017-08-25,V0,FULL DEMOLITION OF A 3 STORY FRAME HOUSE IN CONJUNCTION WITH DEMOLITION #220601025,40.846117,-73.914961,205,14,BX0501,University Heights (South)-Morris Heights,True,31 FEATHERBED LANE,bbl_block
220649626,Demolition,5. Completed Construction,2131062,2028720120,2,1472,SHAKESPEARE AVENUE,2018.0,2018.0,1.0,0,-1.0,,2018-05-17,2018-10-03,2018-10-03,D1,CONTROLLED DEMOLITION WITH ASBESTOS IN PLACE.,40.843708,-73.919695,204,16,BX0403,Mount Eden-Claremont (West),True,1472 SHAKESPEARE AVENUE,bbl_block
220609429,Demolition,5. Completed Construction,2014087,2031870036,2,2351,WALTON AVENUE,2018.0,2018.0,2.0,0,-2.0,,2017-08-02,2018-09-11,2018-09-11,D1,"FILE HEREWITH A FULL HAND DEMOLITION FOR 2 1/2 STORY BRICK, STUCCO AND DEMO OF FOUNDATION AND FOOTINGS WORK TO BE DONE UNDER THIS APPLICATION.",40.8600002764684,-73.9020821456303,205,14,BX0503,Fordham Heights,True,2351 WALTON AVENUE,bbl_block
220696511,Demolition,5. Completed Construction,2129668,2028720148,2,1544,SHAKESPEARE AVENUE,2019.0,2019.0,1.0,0,-1.0,,2019-04-03,2019-12-10,2019-12-10,D7,PROPOSED FULL DEMOLITION OF TWO STORY BUILDING,40.845725,-73.918937,205,14,BX0501,University Heights (South)-Morris Heights,True,1544 SHAKESPEARE AVENUE,bbl_block
220696548,Demolition,5. Completed Construction,2129668,2028720148,2,1542,SHAKESPEARE AVENUE,2019.0,2019.0,2.0,0,-2.0,,2019-04-03,2019-12-10,2019-12-10,D7,PROPOSED FULL DEMOLITION OF THREE STORY BUILDING,40.845725,-73.918937,205,14,BX0501,University Heights (South)-Morris Heights,True,1542 SHAKESPEARE AVENUE,bbl_block
220707885,New Building,3. Permitted for Construction,2091247,2025060081,2,1256,SHAKESPEARE AVENUE,,2024.0,0.0,13,13.0,,2019-06-28,2024-08-26,,C1,,40.838511,-73.922719,204,16,BX0402,Highbridge,False,1256 SHAKESPEARE AVENUE,bbl_block
220718043,New Building,5. Completed Construction,2088424,2031980045,2,29,EVELYN PLACE,2022.0,2021.0,0.0,11,11.0,11.0,2019-12-17,2021-12-07,2022-11-04,C1,,40.85958917403497,-73.90459839369528,207,14,BX0701,University Heights (North)-Fordham,True,29 EVELYN PLACE,bbl_block
220720138,Demolition,5. Completed Construction,2008433,2028650134,2,1600,MACOMBS ROAD,2021.0,2021.0,0.0,0,0.0,,2020-05-13,2021-10-28,2021-10-28,V0,"FULL DEMOLITION OF THREE STORY STRUCTURE USING HAND HELD AND MECHANICAL TO ASSIST WITH STRUCTURAL ON GRADE, LOADING OUT OF DEBRIS AND BACK-FILL SITE.",40.845808,-73.916465,205,14,BX0501,University Heights (South)-Morris Heights,True,1600 MACOMBS ROAD,bbl_block
220736498,Demolition,5. Completed Construction,2091246,2025060081,2,1256 REAR,SHAKESPEARE AVENUE,2022.0,2022.0,1.0,0,-1.0,,2021-01-11,2022-10-27,2022-10-27,C1,FULL DEMOLITION OF 2 STORY FRAME BUILDING IN THE REAR OF PROPERTY.,40.838511,-73.922719,204,16,BX0402,Highbridge,True,1256 REAR SHAKESPEARE AVENUE,bbl_block
220737941,Demolition,5. Completed Construction,2130902,2028720274,2,1548,JESUP AVENUE,2022.0,2022.0,1.0,0,-1.0,,2021-05-20,2022-01-20,2022-01-20,C1,DEMOLITION OF A TWO STORY HOUSE,40.844599,-73.918162,204,16,BX0403,Mount Eden-Claremont (West),True,1548 JESUP AVENUE,bbl_block
220739137,Demolition,5. Completed Construction,2003100,2025060125,2,76,WEST 170 STREET,2022.0,2022.0,2.0,0,-2.0,,2021-12-03,2022-04-08,2022-04-08,D7,,40.840095,-73.92185,204,16,BX0402,Highbridge,True,76 WEST 170 STREET,bbl_block
220739146,Demolition,5. Completed Construction,2129796,2025060125,2,78,WEST 170 STREET,2022.0,2022.0,2.0,0,-2.0,,2021-12-02,2022-04-06,2022-04-06,D7,,40.84009780501192,-73.92185815309105,204,16,BX0402,Highbridge,True,78 WEST 170 STREET,bbl_block
220739565,Demolition,5. Completed Construction,2130883,2025060082,2,1262,SHAKESPEARE AVENUE,2022.0,2022.0,1.0,0,-1.0,,2021-11-22,2022-04-12,2022-04-12,V0,FULL DEMOLITION TO A ONE STORY BUILDING,40.838693,-73.922607,204,16,BX0402,Highbridge,True,1262 SHAKESPEARE AVENUE,bbl_block
220739805,Demolition,5. Completed Construction,2130883,2025060082,2,1258,SHAKESPEARE AVENUE,2022.0,2022.0,2.0,0,-2.0,,2022-02-11,2022-06-01,2022-06-01,D1,FULL DEMOLITION TO A TWO STORY HOUSE,40.838693,-73.922607,204,16,BX0402,Highbridge,True,1258 SHAKESPEARE AVENUE,bbl_block
220739878,Demolition,5. Completed Construction,2008659,2028720070,2,1440,JESUP AVENUE,2022.0,2022.0,1.0,0,-1.0,,2021-12-23,2022-05-11,2022-05-11,V0,FULL DEMOLITION TO A TWO STORY HOUSE,40.841798,-73.920008,204,16,BX0403,Mount Eden-Claremont (West),True,1440 JESUP AVENUE,bbl_block
220739887,Demolition,5. Completed Construction,2008659,2028720070,2,1438,JESUP AVENUE,2022.0,2022.0,2.0,0,-2.0,,2021-12-23,2022-05-11,2022-05-11,V0,FULL DEMOLITION TO A TWO STORY HOUSE,40.841798,-73.920008,204,16,BX0403,Mount Eden-Claremont (West),True,1438 JESUP AVENUE,bbl_block
220739896,Demolition,5. Completed Construction,2131166,2028720071,2,1436,JESUP AVENUE,2022.0,2022.0,1.0,0,-1.0,,2022-05-19,2022-05-31,2022-05-31,D1,FULL DEMOLITION TO A THREE STORY HOUSE,40.841886,-73.919878,204,16,BX0403,Mount Eden-Claremont (West),True,1436 JESUP AVENUE,bbl_block
220740474,Demolition,5. Completed Construction,2008159,2028480024,2,1677,TOWNSEND AVENUE,2021.0,2021.0,3.0,0,-3.0,,2021-08-16,2021-12-28,2021-12-28,D1,FULL DEMOLITION OF TWO STORY STRUCTURE TO MAKE PLACE FOR NEW CONSTRUCTION,40.84595327256616,-73.91278690470804,205,14,BX0502,Mount Hope,True,1677 TOWNSEND AVENUE,bbl_block
240296657,New Building,5. Completed Construction,2129747,2025060054,2,1245,EDWARD L GRANT HIGHWAY,2023.0,2022.0,0.0,110,110.0,110.0,2020-12-07,2022-02-08,2023-10-18,D1,,40.836977366823305,-73.9226927820206,204,16,BX0402,Highbridge,True,1245 EDWARD L GRANT HIGHWAY,bbl
220620601,New Building,5. Completed Construction,2128894,2031960066,2,27,BUCHANAN PLACE,2020.0,2018.0,0.0,25,25.0,25.0,2017-11-08,2018-07-11,2020-08-03,D7,,40.85826589735064,-73.90535294584095,205,14,BX0501,University Heights (South)-Morris Heights,True,27 BUCHANAN PLACE,bbl_block
220673162,New Building,5. Completed Construction,2129190,2028650122,2,29,FEATHERBED LANE,2025.0,2021.0,0.0,160,160.0,160.0,2018-11-14,2021-10-27,2025-06-26,D1,,40.8460842422866,-73.91498265665241,205,14,BX0501,University Heights (South)-Morris Heights,True,29 FEATHERBED LANE,bbl_block
220628523,Demolition,5. Completed Construction,2129185,2028490063,2,1728,TOWNSEND AVENUE,2018.0,2018.0,1.0,0,-1.0,,2017-12-28,2018-10-26,2018-10-26,D1,FULL DEMOLITION OF A 2 STORY FRAME HOUSE,40.846924,-73.911429,205,14,BX0502,Mount Hope,True,1728 TOWNSEND AVENUE,bbl_block
220633223,Alteration,5. Completed Construction,2014083,2031870007,2,2314,JEROME AVENUE,2022.0,2021.0,0.0,0,0.0,20.0,2020-05-20,2021-04-09,2022-06-24,D1,,40.859106098936216,-73.90307122811676,205,14,BX0503,Fordham Heights,True,2314 JEROME AVENUE,bbl
220635034,New Building,5. Completed Construction,2129185,2028490063,2,1728,TOWNSEND AVENUE,2021.0,2019.0,0.0,22,22.0,22.0,2018-03-26,2019-04-30,2021-06-14,D1,,40.846924,-73.911429,205,14,BX0502,Mount Hope,True,1728 TOWNSEND AVENUE,bbl_block
301997329,Alteration,5. Completed Construction,3087996,3039540018,3,2964,FULTON STREET,2011.0,2005.0,1.0,2,1.0,2.0,2005-08-22,2005-10-27,2011-04-29,B1,To convert existing doctor's office to one family dewlling unit at first floor. Horizontal extension on first floor. Obtain new c of o.,40.67958103491663,-73.8852855999003,305,37,BK0501,Cypress Hills,True,2964 FULTON STREET,bbl_block
302068438,Alteration,3. Permitted for Construction,3093168,3041540027,3,285,LOGAN STREET,,2006.0,2.0,2,0.0,,2006-01-31,2006-02-02,,S2,Proposed to convert existing Basement floor to Professional Office with garage. Obtain New C of O,40.67934637849393,-73.87709901716306,305,37,BK0502,East New York (North),False,285 LOGAN STREET,bbl_block
302162022,New Building,5. Completed Construction,3088808,3039950032,3,2263,PITKIN AVENUE,2022.0,2006.0,0.0,3,3.0,3.0,2006-05-24,2006-06-06,2022-09-15,C0,,40.67311070650688,-73.88897376042311,305,42,BK0502,East New York (North),True,2263 PITKIN AVENUE,bbl_block
302140662,New Building,5. Completed Construction,3402310,3041900040,3,148,FOUNTAIN AVENUE,2011.0,2009.0,0.0,2,2.0,2.0,2006-04-05,2009-12-22,2011-05-04,B1,,40.676560381338064,-73.87597083136629,305,37,BK0502,East New York (North),True,148 FOUNTAIN AVENUE,bbl_block
302183759,Alteration,5. Completed Construction,3093196,3041540087,3,88,FOUNTAIN AVENUE,2010.0,2007.0,3.0,3,0.0,3.0,2006-06-14,2007-05-01,2010-02-24,C0,"FILING FOR COMPLETE INTERIOR RENOVATIONOF EXISTING BUILDING.  NO CHANGE  IN EGRESS, USE AND/OR OCCUPANCY.",40.67803010538575,-73.87625298259546,305,37,BK0502,East New York (North),True,88 FOUNTAIN AVENUE,bbl_block
302183795,Alteration,5. Completed Construction,3089282,3040200016,3,428,SHEPHERD AVENUE,2010.0,2007.0,2.0,2,0.0,2.0,2006-06-14,2007-05-01,2010-04-29,B2,FILING FOR COMPLETE INTERIOR RENOVATIONAND IMPROVEMENTS OF EXISTING BUI LDING.,40.67389887312154,-73.88097576855985,305,42,BK0502,East New York (North),True,428 SHEPHERD AVENUE,bbl
302189502,New Building,5. Completed Construction,3394600,3039990032,3,2359,PITKIN AVENUE,2019.0,2006.0,0.0,3,3.0,3.0,2006-07-07,2006-07-11,2019-02-15,C0,,40.67368498917939,-73.88540955884835,305,42,BK0502,East New York (North),True,2359 PITKIN AVENUE,bbl_block
302233189,New Building,5. Completed Construction,3094551,3042080017,3,886,GLENMORE AVENUE,2021.0,2016.0,0.0,3,3.0,3.0,2006-09-21,2016-10-18,2021-01-14,C0,,40.67580846118023,-73.8772515462959,305,42,BK0502,East New York (North),True,886 GLENMORE AVENUE,bbl_block
302239487,Alteration,5. Completed Construction,3087997,3039540019,3,2966,FULTON STREET,2011.0,2007.0,2.0,2,0.0,2.0,2006-11-01,2007-11-28,2011-01-13,K4,"GUT REHABILITAION OF EXISTING RESIDENTIAL/ COMMERCIAL BUILDING. WORK INCLUDES NEW STAIRS, NEW LAYOUT AND WOOD JOIST REPLACEMENT. NEW PLUMBING &amp; HEATING. INCLUDE NEW BOILER INSTALLATION.",40.67958371053946,-73.8851943894993,305,37,BK0501,Cypress Hills,True,2966 FULTON STREET,bbl_block
302261031,New Building,5. Completed Construction,3088390,3039710047,3,737,LIBERTY AVENUE,2015.0,2007.0,0.0,3,3.0,3.0,2006-11-21,2007-03-21,2015-05-08,C1,,40.67661911326604,-73.88259096899995,305,37,BK0501,Cypress Hills,True,737 LIBERTY AVENUE,bbl_block
302366570,New Building,5. Completed Construction,3397036,3039777501,3,509,GLENMORE AVENUE,2010.0,2008.0,0.0,12,12.0,12.0,2007-07-11,2008-08-01,2010-12-14,R0,PAA,40.67408430431706,-73.89134261001676,305,37,BK0502,East New York (North),True,509 GLENMORE AVENUE,bbl_block
302328522,New Building,5. Completed Construction,3396924,3039830125,3,296,ASHFORD STREET,2011.0,2007.0,0.0,2,2.0,2.0,2007-04-17,2007-11-27,2011-01-28,B2,,40.67519536625446,-73.88568251030503,305,37,BK0502,East New York (North),True,296 ASHFORD STREET,bbl_block
310055702,New Building,5. Completed Construction,3397490,3041900025,3,902,LIBERTY AVENUE,2010.0,2008.0,0.0,47,47.0,47.0,2007-11-27,2008-11-20,2010-10-25,D9,,40.677201528613566,-73.87629981067116,305,37,BK0502,East New York (North),True,902 LIBERTY AVENUE,bbl_block
310106186,New Building,5. Completed Construction,3422276,3040080021,3,878,GLENMORE AVENUE,2015.0,2012.0,0.0,3,3.0,3.0,2008-03-14,2012-06-22,2015-05-18,C0,,40.67572759307671,-73.87760043794344,305,42,BK0502,East New York (North),True,878 GLENMORE AVENUE,bbl_block
320196676,New Building,5. Completed Construction,3398481,3041540008,3,341,LOGAN STREET,2013.0,2011.0,0.0,3,3.0,3.0,2010-07-30,2011-08-04,2013-02-19,B2,,40.67807593680753,-73.87676118221995,305,37,BK0502,East New York (North),True,341 LOGAN STREET,bbl_block
320176171,Alteration,5. Completed Construction,3093157,3041540007,3,339,LOGAN STREET,2012.0,2011.0,2.0,2,0.0,2.0,2010-06-17,2011-02-17,2012-12-12,B2,,40.67813251330089,-73.87677847492981,305,37,BK0502,East New York (North),True,339 LOGAN STREET,bbl_block
320422048,New Building,5. Completed Construction,3087925,3039520027,3,156,ASHFORD STREET,2013.0,2012.0,0.0,4,4.0,4.0,2012-02-06,2012-09-25,2013-11-19,S4,,40.678875589139125,-73.88663650126968,305,37,BK0501,Cypress Hills,True,156 ASHFORD STREET,bbl_block
