Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,hdb_completed,hdb_address,hdb_match_via,hdb_bbl_used,our_bbl,hdb_bbl_is_historic,matched_bin,bin_attach
B00644465,New Building,3. Permitted for Construction,3822638,3036880004,3,197,NEW JERSEY AVENUE,,2022.0,0.0,9,9.0,,2021-12-17,2022-10-26,,Other,HEREWITH FILE A NEW BUILDING FOR 4 STORY WITH PENTHOUSE 9 FAMILY DWELLING. OBTAIN A CERTIFICATE OF OCCUPANCY.,False,197 NEW JERSEY AVENUE,bbl,3036880004,3036880004,False,,no_footprint
B00624645,New Building,5. Completed Construction,3427362,3039460042,3,2777,ATLANTIC AVENUE,2024.0,2022.0,0.0,63,63.0,63.0,2021-11-04,2022-03-24,2024-02-14,Other,PROPOSING 8 STORY MIXED USE BUILDING,True,2777 ATLANTIC AVENUE,bin,3039460042,3039460042,False,3427362,hdb_bin
B00652243,New Building,5. Completed Construction,3395220,3036620048,3,2715,FULTON STREET,2023.0,2022.0,0.0,60,60.0,60.0,2021-12-22,2022-06-01,2023-10-03,Other,Proposed 8 story mixed use building. Total of 60 residential units.,True,2715 FULTON STREET,bin,3036620048,3036620048,False,3395220,hdb_bin
B00660471,New Building,1. Filed Application,3401138,3036630048,3,2719,FULTON STREET,,,0.0,10,10.0,,2022-02-16,,,Other,NEW 6 STORY MIXED-USE BUILDING  COMMERCIAL AT 1ST FLOOR AND RESIDENTIAL 2-6 FLOORS,False,2719 FULTON STREET,bin,3036630048,3036630048,False,3401138,hdb_bin
B00673635,New Building,5. Completed Construction,3427416,3039650011,3,2886,ATLANTIC AVENUE,2024.0,2022.0,0.0,183,183.0,183.0,2022-02-18,2022-08-11,2024-05-02,Other,Proposed ten (10) story + cellar mixed-use building.,True,2886 ATLANTIC AVENUE,bin,3039650011,3039650011,False,3427416,hdb_bin
B00699404,New Building,5. Completed Construction,3427033,3036610001,3,2667,FULTON STREET,2024.0,2022.0,0.0,110,110.0,110.0,2022-03-16,2022-06-02,2024-09-05,Other,PROPOSING NEW 9 STORY MIXED USE BUILDING,True,2667 FULTON STREET,bin,3036610001,3036610001,False,3427033,hdb_bin
B00670629,New Building,5. Completed Construction,3430123,3039890016,3,786,LIBERTY AVENUE,2025.0,2022.0,0.0,54,54.0,54.0,2022-01-31,2022-06-09,2025-05-06,Other,Proposing new 8 story & cellar residential building,True,786 LIBERTY AVENUE,bbl,3039890016,3039890016,False,,no_footprint
B00683623,New Building,3. Permitted for Construction,3339353,3036710038,3,2683,ATLANTIC AVENUE,,2022.0,0.0,229,229.0,,2022-02-27,2022-05-27,,Other,PROPOSING NEW 13 STORY BUILDING,False,2683 ATLANTIC AVENUE,bin,3036710038,3036710038,False,3339353,hdb_bin
B00709512,New Building,3. Permitted for Construction,3430199,3036740042,3,2745,ATLANTIC AVENUE,,2022.0,0.0,150,150.0,,2022-04-27,2022-06-10,,Other,PROPOSED 14 STORY MIXED USE BUILDING,False,2745 ATLANTIC AVENUE,bin,3036740042,3036740042,False,3430199,hdb_bin
B00733362,New Building,2. Approved Application,3848366,3040030001,3,455,LINWOOD STREET,,,0.0,3,3.0,,2022-05-20,,,3 Family,PROPOSED NEW THREE (3) STORY THREE (3) FAMILY RESIDENTIAL BUILDING.,False,455 LINWOOD STREET,bbl,3040030001,3040030001,False,,no_footprint
B00734382,New Building,5. Completed Construction,3429826,3037030035,3,180,PENNSYLVANIA AVENUE,2025.0,2024.0,0.0,50,50.0,50.0,2022-06-13,2024-01-25,2025-04-01,Other,PROPOSED 8 STORY RESIDENTIAL NEW BUILDING WITH 50 DWELLING UNITS,True,180 PENNSYLVANIA AVENUE,bin,3037030035,3037030035,False,3429826,hdb_bin
B00735349,New Building,1. Filed Application,3429379,3037080035,3,489,GLENMORE AVENUE,,,0.0,3,3.0,,2022-05-31,,,3 Family,HEREWITH TO PROPOSE A 3 STORY 3 FAMILY NEW BUILDING (2 TAX LOTS 1 ZONING LOT),False,489 GLENMORE AVENUE,bbl,3037080035,3037080035,False,,no_footprint
B00735907,New Building,3. Permitted for Construction,3336148,3039570053,3,3051,ATLANTIC AVENUE,,2024.0,0.0,49,49.0,,2022-05-13,2024-08-06,,Other,Proposed a new 12 story residential building.,False,3051 ATLANTIC AVENUE,bin,3039570053,3039570053,False,3336148,hdb_bin
B00739051,New Building,5. Completed Construction,3430356,3036900015,3,2738,ATLANTIC AVENUE,2025.0,2024.0,0.0,10,10.0,10.0,2022-05-17,2024-08-12,2025-11-20,Other,PROPOSED 4 STORY & CELLAR MIXED USE BUILDING.,True,2738 ATLANTIC AVENUE,bin,3036900015,3036900015,False,3430356,hdb_bin
B00797125,Alteration,3. Permitted for Construction,3089159,3040140011,3,2322,PITKIN AVENUE,,,0.0,2,2.0,,2022-11-14,,,Other,VERTICAL ENLARGEMENT OF EXISTING ONE STORY COMMERCIAL BUILDING TO ACCOMODATE TWO NEW APARTMENTS.,False,2322 PITKIN AVENUE,bin,3040140011,3040140011,False,3089159,hdb_bin
B00825941,New Building,1. Filed Application,3815673,3039440005,3,3069,FULTON STREET,,,0.0,4,4.0,,2023-07-14,,,Other,PROPOSED 3 STORY MIXED USE BUILDING PER PLANS.,False,3069 FULTON STREET,bbl,3039440005,3039440005,False,,no_footprint
B00844107,Alteration,5. Completed Construction,3336161,3040020028,3,470,LINWOOD STREET,2024.0,2023.0,2.0,3,1.0,3.0,2023-03-31,2023-08-18,2024-11-06,2 Family,Conversion of 2-family house to 3-family house and associated interior work per plans herewith.,True,470 LINWOOD STREET,bin,3040020028,3040020028,False,3336161,hdb_bin
B00803674,New Building,5. Completed Construction,3429533,3037230024,3,240,WYONA STREET,2025.0,2024.0,0.0,2,2.0,2.0,2023-04-01,2024-02-12,2025-04-10,2 Family,PROPOSED NEW THREE-STORY TWO-FAMILY BUILDING.,True,240 WYONA STREET,bbl,3037230024,3037230024,False,,no_footprint
B00803713,New Building,5. Completed Construction,3429876,3037230023,3,238,WYONA STREET,2025.0,2024.0,0.0,2,2.0,2.0,2023-04-01,2024-02-12,2025-08-28,2 Family,PROPOSED NEW THREE-STORY TWO-FAMILY BUILDING.  238 WYONA STREET = LOT 23,True,238 WYONA STREET,bbl,3037230023,3037230023,False,,no_footprint
B00854563,New Building,5. Completed Construction,3425861,3041530028,3,23,MILFORD STREET,2024.0,2023.0,0.0,2,2.0,2.0,2023-05-17,2023-10-17,2024-11-06,2 Family,NEW 3-STORY 2-FAMILY HOUSE,True,23 MILFORD STREET,bbl,3041530028,3041530028,False,,no_footprint
