Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,hdb_completed,hdb_address,hdb_match_via,hdb_bbl_used,our_bbl,hdb_bbl_is_historic,matched_bin,bin_attach
320550186,New Building,5. Completed Construction,3397849,3039830010,3,327,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-07-24,2019-12-10,B1,,True,327 WARWICK STREET,bin,3039830010,3039830010,False,3397849,hdb_bin
320550195,New Building,5. Completed Construction,3397850,3039830011,3,329,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-11-18,2019-12-10,B1,,True,329 WARWICK STREET,bin,3039830011,3039830011,False,3397850,hdb_bin
320550202,New Building,5. Completed Construction,3397851,3039830012,3,331,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-11-18,2019-12-10,B1,,True,331 WARWICK STREET,bin,3039830012,3039830012,False,3397851,hdb_bin
320550211,New Building,5. Completed Construction,3397852,3039830013,3,333,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-07-24,2019-12-10,B1,,True,333 WARWICK STREET,bin,3039830013,3039830013,False,3397852,hdb_bin
320550220,New Building,5. Completed Construction,3397853,3039830014,3,335,WARWICK STREET,2019.0,2014.0,0.0,2,2.0,2.0,2012-08-29,2014-07-24,2019-12-10,B1,,True,335 WARWICK STREET,bin,3039830014,3039830014,False,3397853,hdb_bin
320625310,New Building,5. Completed Construction,3425462,3036600029,3,100,NEW JERSEY AVENUE,2018.0,2016.0,0.0,0,0.0,39.0,2015-05-29,2016-01-14,2018-05-23,H3,PROPOSED 5-STORY NEW HOTEL,True,100 NEW JERSEY AVENUE,bin,3036600029,3036600029,False,3425462,hdb_bin
320596663,New Building,5. Completed Construction,3426301,3015400026,3,220,HULL STREET,2021.0,2017.0,0.0,28,28.0,28.0,2014-11-19,2017-03-03,2021-02-18,N2,,True,220 HULL STREET,bin,3015400026,3015400026,False,3426301,hdb_bin
320746993,Alteration,5. Completed Construction,3083559,3036900009,3,2724,ATLANTIC AVENUE,2015.0,2014.0,4.0,4,0.0,4.0,2013-05-10,2014-09-23,2015-06-24,S4,"AMEND C/O, REMOVE FIRST FLOOR BAKE SHOP USE, STORE USE TO REMAIN, SECOND AND THIRD FLOOR 2 FAMILIES EACH TO REMAIN, NO CHANGE TO OCCUPANCIS AND EGRESS, NO WORK TO BE DONE",True,2724 ATLANTIC AVENUE,bin,3036900009,3036900009,False,3083559,hdb_bin
320772507,Alteration,5. Completed Construction,3083804,3037200029,3,212,PENNSYLVANIA AVENUE,2015.0,2013.0,2.0,2,0.0,2.0,2013-07-30,2013-11-08,2015-02-26,C0,"INTERIOR &amp; EXTERIOR RENOVATION, RESTORE PREMISES TO LEGAL OCCUPANCY REMOVED DOB AND ECB VIOLATION 34562437Z, 3486148R,34864854N, 34884136R ADD NEW STAIRS TO ACCESS 1ST FLOOR,AND SOME MINOR PARTITIONS",True,212 PENNSYLVANIA AVENUE,bin,3037200029,3037200029,False,3083804,hdb_bin
320845635,New Building,5. Completed Construction,3083106,3036600002,3,27,PENNSYLVANIA AVENUE,2017.0,2014.0,0.0,0,0.0,61.0,2013-08-13,2014-10-30,2017-05-10,H3,PROPOSED 7-STORY NEW HOTEL.,True,27 PENNSYLVANIA AVENUE,bin,3036600002,3036600002,False,3083106,hdb_bin
320860975,New Building,5. Completed Construction,3413909,3015407503,3,151,SOMERS STREET,2018.0,2015.0,0.0,8,8.0,8.0,2014-01-21,2015-06-05,2018-12-04,R0,,True,151 SOMERS STREET,bbl,3015407503,3015407503,False,,no_footprint
320819708,Alteration,5. Completed Construction,3426956,3039770032,3,531,GLENMORE AVENUE,2023.0,2015.0,0.0,3,3.0,3.0,2014-06-03,2015-05-19,2023-07-17,C0,,True,531 GLENMORE AVENUE,bbl,3039770032,3039770032,False,3327140,lot_single_bin
320819717,Alteration,5. Completed Construction,3327140,3039770033,3,527,GLENMORE AVENUE,2023.0,2015.0,0.0,2,2.0,2.0,2014-06-03,2015-06-02,2023-08-14,B9,OBTAIN NEW CO AS 2-FAMILY DWELLING AS A RESULT OF LOT SUBDIVISION. PROPOSE 2 STORY HORIZONTAL ENLARGEMENT.,True,527 GLENMORE AVENUE,bin,3039770033,3039770033,False,3327140,hdb_bin
320912134,New Building,5. Completed Construction,3083402,3036750005,3,253,MOTHER GASTON BOULEVARD,2023.0,2019.0,0.0,19,19.0,19.0,2018-04-16,2019-11-13,2023-06-06,D1,,True,253 MOTHER GASTON BOULEVARD,bin,3036750005,3036750005,False,3083402,hdb_bin
320912321,New Building,5. Completed Construction,3427344,3039320001,3,2769,FULTON STREET,2025.0,2019.0,0.0,6,6.0,6.0,2018-04-28,2019-08-01,2025-08-29,S9,PROP. 6 FAMILY 4 STORY RESIDENTIAL AND COMMERCIAL MIX USE BUILDING. OBTAIN NEW CERTIFICATE OF OCCUPANCY,True,2769 FULTON STREET,bin,3039320001,3039320001,False,3427344,hdb_bin
320915006,New Building,5. Completed Construction,3427051,3040100014,3,309,VAN SICLEN AVENUE,2017.0,2015.0,0.0,8,8.0,8.0,2014-03-31,2015-05-13,2017-03-31,C1,"ERECT NEW 4 STORY, 8 FAMILY MULTIPLE DWELLING. CONSTRUCTION SQUARE FOOTAGE: 6828 SF.",True,309 VAN SICLEN AVENUE,bin,3040100014,3040100014,False,3427051,hdb_bin
320915630,New Building,5. Completed Construction,3426517,3039520022,3,2926,FULTON STREET,2019.0,2017.0,0.0,3,3.0,3.0,2014-04-25,2017-04-10,2019-05-14,S3,,True,2926 FULTON STREET,bin,3039520022,3039520022,False,3426517,hdb_bin
320873907,Demolition,5. Completed Construction,3083220,3036640052,3,2741,FULTON STREET,2013.0,2013.0,1.0,0,-1.0,,2013-09-12,2013-11-21,2013-11-21,C7,DEMOLITION OF STRUCTURE,True,2741 FULTON STREET,bin,3036640052,3036640052,False,3083220,hdb_bin
320921874,New Building,5. Completed Construction,3252792,3040040006,3,377,ESSEX STREET,2017.0,2015.0,0.0,2,2.0,2.0,2014-03-05,2015-08-03,2017-03-20,B1,"ERECT A 3-STORY , 2-FAMILY NEW BUILDING.",True,377 ESSEX STREET,bin,3040040006,3040040006,False,3252792,hdb_bin
320942922,Demolition,5. Completed Construction,3088440,3039760009,3,65,MONTAUK AVENUE,2014.0,2014.0,6.0,0,-6.0,,2014-04-02,2014-06-25,2014-06-25,V0,DEMOLITION OF 2 STY STRUCTURE HPD EMERGENCY PROJECT,True,65 MONTAUK AVENUE,bin,3039760009,3039760009,False,3088440,hdb_bin
320948551,Alteration,5. Completed Construction,3083980,3037420016,3,2178,PITKIN AVENUE,2023.0,2016.0,4.0,4,0.0,4.0,2014-02-14,2016-10-26,2023-06-08,S2,,True,2178 PITKIN AVENUE,bin,3037420016,3037420016,False,3083980,hdb_bin
320948560,Alteration,5. Completed Construction,3083981,3037420018,3,2182,PITKIN AVENUE,2022.0,2016.0,4.0,2,-2.0,2.0,2014-02-14,2016-09-27,2022-02-28,K4,,True,2182 PITKIN AVENUE,bin,3037420018,3037420018,False,3083981,hdb_bin
320959165,Demolition,5. Completed Construction,3088662,3039860022,3,400,LINWOOD STREET,2014.0,2014.0,2.0,0,-2.0,,2014-04-09,2014-09-16,2014-09-16,G0,DEMOLITION OF STRUCTURE,True,400 LINWOOD STREET,bin,3039860022,3039860022,False,3088662,hdb_bin
320963132,New Building,5. Completed Construction,3426099,3014440042,3,2457,DEAN STREET,2017.0,2014.0,0.0,0,0.0,62.0,2014-05-08,2014-12-03,2017-07-07,H3,,True,2457 DEAN STREET,bin,3014440042,3014440042,False,3426099,hdb_bin
320972471,Demolition,5. Completed Construction,3326728,3036870012,3,117,PENNSYLVANIA AVENUE,2015.0,2015.0,2.0,0,-2.0,,2014-09-09,2015-08-14,2015-08-14,O7,FULL DEMOLITION OF 2 STORY AND CELLAR BRICK BUILDING.,True,117 PENNSYLVANIA AVENUE,bin,3036870012,3036870012,False,3326728,hdb_bin
321050214,Demolition,5. Completed Construction,3087520,3039340050,3,169,HENDRIX STREET,2015.0,2015.0,4.0,0,-4.0,,2015-01-23,2015-02-05,2015-02-05,G0,DEMOLITION OF 1-3 STY STRUCTURE HPD EMERGENCY PROJECT,True,169 HENDRIX STREET,bin,3039340050,3039340050,False,3087520,hdb_bin
321066573,New Building,3. Permitted for Construction,3426612,3036710143,3,149,NEW JERSEY AVENUE,,2019.0,0.0,0,0.0,,2014-12-26,2019-08-02,,H3,,False,149 NEW JERSEY AVENUE,bbl,3036710143,3036710143,False,,no_footprint
321074145,New Building,5. Completed Construction,3426598,3036690007,3,51,SHEFFIELD AVENUE,2023.0,2020.0,0.0,0,0.0,69.0,2018-11-09,2020-01-21,2023-11-16,H3,,True,51 SHEFFIELD AVENUE,bin,3036690007,3036690007,False,3426598,hdb_bin
321074190,New Building,5. Completed Construction,3425972,3036690005,3,55,SHEFFIELD AVENUE,2023.0,2020.0,0.0,0,0.0,69.0,2018-11-09,2020-02-03,2023-12-28,H3,PROPOSED 9-STORY HOTEL,True,55 SHEFFIELD AVENUE,bin,3036690005,3036690005,False,3425972,hdb_bin
320880971,Demolition,5. Completed Construction,3328369,3039630021,3,204,SCHENCK AVENUE,2013.0,2013.0,1.0,0,-1.0,,2013-10-15,2013-11-21,2013-11-21,C1,DEMOLITION OF STRUCTURE,True,204 SCHENCK AVENUE,bbl,3039630021,3039630021,False,,no_footprint
320896349,New Building,5. Completed Construction,3427077,3040057501,3,2501,PITKIN AVENUE,2018.0,2015.0,0.0,60,60.0,60.0,2013-11-08,2015-10-29,2018-04-27,R0,,True,2501 PITKIN AVENUE,bin,3040057501,3040050028,True,3427077,hdb_bin
320899998,Alteration,5. Completed Construction,3088128,3039570037,3,194,SHEPHERD AVENUE,2022.0,2014.0,1.0,2,1.0,2.0,2013-09-16,2014-08-21,2022-03-02,B3,,True,194 SHEPHERD AVENUE,bin,3039570037,3039570037,False,3088128,hdb_bin
321154273,Demolition,5. Completed Construction,3094648,3042110034,3,468,CHESTNUT STREET,2016.0,2016.0,5.0,0,-5.0,,2015-11-13,2016-09-21,2016-09-21,Z0,"HPD EMERGENCY DECLARATION FULL DEMOLITION OF 3 STORY WOOD-FRAME BUILDING, APPROX 20' FEET WIDE BY 30' FEET DEEP.",True,468 CHESTNUT STREET,bbl,3042110034,3042110034,False,,no_footprint
321130192,Demolition,5. Completed Construction,3089107,3040100025,3,382,HENDRIX STREET,2015.0,2015.0,3.0,0,-3.0,,2015-06-23,2015-08-12,2015-08-12,V1,HPD EMERGENCY DELCARARTION FOR FULL DEMOLITION OF 2 STORY WOOD FRAME HOUSE,True,382 HENDRIX STREET,bin,3040100025,3040100025,False,3089107,hdb_bin
321184446,New Building,5. Completed Construction,3428606,3041437501,3,250,EUCLID AVENUE,2024.0,2021.0,0.0,403,403.0,403.0,2017-01-27,2021-07-01,2024-02-01,R0,,True,250 EUCLID AVENUE,bbl,3041437501,3041437501,False,,no_footprint
321184491,New Building,5. Completed Construction,3328398,3039710049,3,735,LIBERTY AVENUE,2021.0,2019.0,0.0,10,10.0,10.0,2017-02-02,2019-01-17,2021-12-07,C7,"PROPOSED NEW 4 STORY AND CELLAR BUILDING, 10 RESIDENTIAL UNITS, 1 STORE ON FIRST FLOOR",True,735 LIBERTY AVENUE,bin,3039710049,3039710049,False,3328398,hdb_bin
321184507,Alteration,5. Completed Construction,3088390,3039710047,3,737,LIBERTY AVENUE,2020.0,2018.0,3.0,10,7.0,10.0,2017-02-02,2018-09-18,2020-04-16,C1,"PROPOSED HORIZONTAL AND VERTICAL ENLARGEMENT OF EXISTING 3 STORY, 3 UNITS AND 1 STORE BUILDING; NEW 4TH FLOOR AND REAR EXTENSION TO CREATE 10 CLASS A APARTMENTS.",True,737 LIBERTY AVENUE,bin,3039710047,3039710047,False,3088390,hdb_bin
321193944,New Building,5. Completed Construction,3425163,3039710019,3,315,LINWOOD STREET,2020.0,2018.0,0.0,100,100.0,100.0,2017-06-29,2018-06-28,2020-05-27,D6,A 10 STORY NEW BUILDING,True,315 LINWOOD STREET,bin,3039710019,3039710019,False,3425163,hdb_bin
321194676,New Building,5. Completed Construction,3426341,3040020014,3,734,GLENMORE AVENUE,2022.0,2019.0,0.0,3,3.0,3.0,2017-07-27,2019-08-05,2022-06-29,C0,,True,734 GLENMORE AVENUE,bin,3040020014,3040020014,False,3426341,hdb_bin
321194685,New Building,5. Completed Construction,3424440,3040020013,3,730,GLENMORE AVENUE,2022.0,2019.0,0.0,3,3.0,3.0,2017-07-27,2019-08-05,2022-08-01,C0,HEREWITH TO PROPOSE 3 STORY BUILDING WITH 3 FAMILY DWELLING,True,730 GLENMORE AVENUE,bin,3040020013,3040020013,False,3424440,hdb_bin
321327863,New Building,3. Permitted for Construction,3256553,3039920014,3,842,LIBERTY AVENUE,,2022.0,0.0,8,8.0,,2016-03-16,2022-04-28,,C1,,False,842 LIBERTY AVENUE,bin,3039920014,3039920014,False,3256553,hdb_bin
321327934,Alteration,5. Completed Construction,3088127,3039570035,3,190,SHEPHERD AVENUE,2018.0,2017.0,1.0,2,1.0,2.0,2016-05-20,2017-07-13,2018-10-03,B2,"INTERIOR RENOVATION, REAR HORIZONTAL AND VERTICAL ENLARGEMENT, CONVERSION FROM ONE TO TWO FAMILY DWELLING, + PARTIAL INTERIOR DEMO + AS PER PLAN",True,190 SHEPHERD AVENUE,bin,3039570035,3039570035,False,3088127,hdb_bin
321383702,New Building,5. Completed Construction,3428706,3036697501,3,62,PENNSYLVANIA AVENUE,2021.0,2019.0,0.0,218,218.0,218.0,2018-07-30,2019-07-26,2021-12-14,D7,,True,62 PENNSYLVANIA AVENUE,bbl,3036697501,3036697501,False,,no_footprint
321384177,New Building,5. Completed Construction,3426244,3041427501,3,110,DINSMORE PLACE,2022.0,2020.0,0.0,275,275.0,275.0,2018-08-08,2020-01-23,2022-07-15,D6,,True,110 DINSMORE PLACE,bbl,3041427501,3041427501,False,,no_footprint
321384266,New Building,5. Completed Construction,3423889,3015430060,3,79,TRUXTON STREET,2020.0,2019.0,0.0,8,8.0,8.0,2018-09-06,2019-02-20,2020-12-04,C1,,True,79 TRUXTON STREET,bin,3015430060,3015430060,False,3423889,hdb_bin
321384337,New Building,5. Completed Construction,3426287,3041547501,3,265,LOGAN STREET,2025.0,2022.0,0.0,343,343.0,343.0,2018-09-17,2022-09-29,2025-03-20,R0,,True,265 LOGAN STREET,bbl,3041547501,3041547501,False,,no_footprint
321386184,New Building,5. Completed Construction,3426630,3041920001,3,961,GLENMORE AVENUE,2024.0,2020.0,0.0,2,2.0,2.0,2019-02-07,2020-08-31,2024-06-07,B1,,True,961 GLENMORE AVENUE,bin,3041920001,3041920001,False,3426630,hdb_bin
321386193,New Building,5. Completed Construction,3426631,3041920047,3,963,GLENMORE AVENUE,2024.0,2020.0,0.0,2,2.0,2.0,2019-02-07,2020-08-31,2024-07-26,B1,,True,963 GLENMORE AVENUE,bin,3041920047,3041920047,False,3426631,hdb_bin
321436326,Demolition,5. Completed Construction,3083290,3036700025,3,118,NEW JERSEY AVENUE,2020.0,2020.0,2.0,0,-2.0,,2019-09-04,2020-07-17,2020-07-17,V1,THIS APPLICATION IS FILED FOR EXISTING HOUSE FULL DEMOLITION. THIS PROPOSED DEMOLITION   WILL BE DONE BY HANDHELD DEVICE.,True,118 NEW JERSEY AVENUE,bbl,3036700025,3036700025,False,,no_footprint
321400462,Alteration,5. Completed Construction,3088475,3039770001,3,275,MILLER AVENUE,2021.0,2017.0,0.0,7,7.0,7.0,2016-06-08,2017-04-26,2021-07-22,C1,CONVERSION TO 7-UNIT RESIDENCE,True,275 MILLER AVENUE,bin,3039770001,3039770001,False,3088475,hdb_bin
321484078,New Building,5. Completed Construction,3428703,3015430014,3,102,SOMERS STREET,2020.0,2017.0,0.0,8,8.0,8.0,2016-11-22,2017-09-27,2020-02-07,C1,,True,102 SOMERS STREET,bin,3015430014,3015430014,False,3428703,hdb_bin
321486771,Alteration,5. Completed Construction,3087714,3039430016,3,3043,FULTON STREET,2020.0,2019.0,0.0,2,2.0,2.0,2017-09-25,2019-04-03,2020-12-17,S2,,True,3043 FULTON STREET,bin,3039430016,3039430016,False,3087714,hdb_bin
321469718,Alteration,5. Completed Construction,3094702,3042150008,3,393,PINE STREET,2019.0,2017.0,1.0,2,1.0,2.0,2016-10-24,2017-05-16,2019-07-17,B3,"APPLICATION FILE TO CONVERT FROM ONE TO TWO FAMILY DWELLING, INTERIOR RENOVATION.",True,393 PINE STREET,bin,3042150008,3042150008,False,3094702,hdb_bin
321497457,Alteration,5. Completed Construction,3089337,3040230012,3,199,ATKINS AVENUE,2019.0,2017.0,0.0,2,2.0,2.0,2017-02-07,2017-06-22,2019-04-10,S1,"CONVERT EXISTING MEDICAL OFFICE BACK TO 2 FAMILIES HOUSE, OBTAIN NEW C/O",True,199 ATKINS AVENUE,bin,3040230012,3040230012,False,3089337,hdb_bin
321511271,Demolition,5. Completed Construction,3426341,3040020014,3,734,GLENMORE AVENUE,2017.0,2017.0,1.0,0,-1.0,,2017-01-18,2017-05-10,2017-05-10,C0,ONE FAMILY HOUSE DEMEO,True,734 GLENMORE AVENUE,bin,3040020014,3040020014,False,3426341,hdb_bin
321517827,New Building,5. Completed Construction,3424409,3039980025,3,396,WARWICK STREET,2025.0,2020.0,0.0,2,2.0,2.0,2017-02-21,2020-03-13,2025-07-30,B2,,True,396 WARWICK STREET,bin,3039980025,3039980025,False,3424409,hdb_bin
321562000,New Building,5. Completed Construction,3426962,3040000027,3,438,CLEVELAND STREET,2019.0,2018.0,0.0,2,2.0,2.0,2017-04-24,2018-03-12,2019-08-22,B1,,True,438 CLEVELAND STREET,bin,3040000027,3040000027,False,3426962,hdb_bin
321566934,New Building,5. Completed Construction,3430179,3039330055,3,2795,FULTON STREET,2025.0,2024.0,0.0,51,51.0,51.0,2017-08-02,2024-08-20,2025-05-28,D6,,True,2795 FULTON STREET,bin,3039330055,3039330055,False,3430179,hdb_bin
321584834,New Building,5. Completed Construction,3427274,3036730005,3,105,WYONA STREET,2022.0,2018.0,0.0,3,3.0,3.0,2017-05-26,2018-07-27,2022-07-12,C0,"PROPOSED NEW(3)STORY WITH CELLAR, (3) DWELLING UNIT RESIDENTIAL BUILDING",True,105 WYONA STREET,bin,3036730005,3036730005,False,3427274,hdb_bin
321584843,New Building,5. Completed Construction,3083350,3036730004,3,107,WYONA STREET,2022.0,2018.0,0.0,3,3.0,3.0,2017-05-26,2018-07-27,2022-05-03,C0,"PROPOSED NEW (3) STORY WITH CELLAR, (3) DWELLING UNIT RESIDENTIAL BUILDING.",True,107 WYONA STREET,bin,3036730004,3036730004,False,3083350,hdb_bin
321591782,New Building,2. Approved Application,3428665,3037250012,3,492,GLENMORE AVENUE,,,0.0,6,6.0,,2020-05-11,,,V0,,False,492 GLENMORE AVENUE,bbl,3037250012,3037250012,False,,no_footprint
321593584,New Building,5. Completed Construction,3428627,3041530040,3,3192,ATLANTIC AVENUE,2023.0,2020.0,0.0,0,0.0,61.0,2019-06-13,2020-06-08,2023-06-01,H3,,True,3192 ATLANTIC AVENUE,bin,3041530040,3041530040,False,3428627,hdb_bin
321594137,New Building,5. Completed Construction,3428817,3039647501,3,268,BARBEY STREET,2024.0,2021.0,0.0,320,320.0,320.0,2019-06-27,2021-12-23,2024-04-11,D6,,True,268 BARBEY STREET,bbl,3039647501,3039647501,False,,no_footprint
321594226,New Building,5. Completed Construction,3428526,3042147501,3,437,EUCLID AVENUE,2024.0,2022.0,0.0,135,135.0,135.0,2019-06-28,2022-07-07,2024-04-10,R0,,True,437 EUCLID AVENUE,bbl,3042147501,3042147501,False,,no_footprint
321595341,New Building,5. Completed Construction,3428580,3037060012,3,221,VERMONT STREET,2023.0,2020.0,0.0,11,11.0,11.0,2019-10-17,2020-09-22,2023-10-12,C1,,True,221 VERMONT STREET,bin,3037060012,3037060012,False,3428580,hdb_bin
321595350,New Building,5. Completed Construction,3428583,3039560059,3,190,ESSEX STREET,2023.0,2020.0,0.0,15,15.0,15.0,2019-10-17,2020-09-22,2023-09-21,C1,,True,190 ESSEX STREET,bin,3039560059,3039560059,False,3428583,hdb_bin
321595412,Alteration,3. Permitted for Construction,3087517,3039340047,3,2823,FULTON STREET,,2023.0,2.0,2,0.0,,2019-10-21,2023-04-21,,S2,"VERTICAL ENLARGEMENT FOR EXISTING 2 STORY BUILDING AND CONVERSION OF FIRST FLOOR TO COMMERCIAL SPACE, SECOND AND THIRD FLOORS RESIDENTIAL ONE DWELLING EACH.",False,2823 FULTON STREET,bin,3039340047,3039340047,False,3087517,hdb_bin
321595699,New Building,1. Filed Application,3252981,3042080010,3,175,MILFORD STREET,,,0.0,3,3.0,,2019-11-07,,,V0,,False,175 MILFORD STREET,bbl,3042080010,3042080010,False,,no_footprint
321595859,New Building,1. Filed Application,3252982,3042080035,3,446,LOGAN STREET,,,0.0,3,3.0,,2019-11-13,,,V0,,False,446 LOGAN STREET,bbl,3042080035,3042080035,False,,no_footprint
321595939,Alteration,5. Completed Construction,3083727,3037080015,3,486,LIBERTY AVENUE,2024.0,2021.0,0.0,0,0.0,11.0,2019-11-18,2021-05-19,2024-01-22,HH,,True,486 LIBERTY AVENUE,bin,3037080015,3037080015,False,3083727,hdb_bin
321596242,New Building,5. Completed Construction,3428642,3040040022,3,396,SHEPHERD AVENUE,2022.0,2021.0,0.0,7,7.0,7.0,2019-12-05,2021-01-07,2022-11-14,C1,,True,396 SHEPHERD AVENUE,bin,3040040022,3040040022,False,3428642,hdb_bin
321596821,New Building,5. Completed Construction,3424747,3041530025,3,29,MILFORD STREET,2022.0,2020.0,0.0,2,2.0,2.0,2020-01-09,2020-11-02,2022-03-08,B1,HEREWITH FILED ONE(1)NEW THREE(3)STORY TWO(2)FAMILY RESIDENTIAL BUILDING.,True,29 MILFORD STREET,bin,3041530025,3041530025,False,3424747,hdb_bin
321597009,New Building,5. Completed Construction,3392571,3039980030,3,410,WARWICK STREET,2023.0,2021.0,0.0,58,58.0,58.0,2019-08-22,2021-07-07,2023-08-17,D1,,True,410 WARWICK STREET,bin,3039980030,3039980030,False,3392571,hdb_bin
321597884,New Building,5. Completed Construction,3042292,3015530037,3,1405,HERKIMER STREET,2021.0,2020.0,0.0,9,9.0,9.0,2019-09-20,2020-06-29,2021-12-08,C1,,True,1405 HERKIMER STREET,bin,3015530037,3015530037,False,3042292,hdb_bin
321597955,New Building,2. Approved Application,3089182,3040150022,3,2358,PITKIN AVENUE,,,0.0,26,26.0,,2019-09-23,,,V1,,False,2358 PITKIN AVENUE,bbl,3040150022,3040150022,False,,no_footprint
321600139,New Building,5. Completed Construction,3414073,3036750025,3,103,LIBERTY AVENUE,2023.0,2022.0,0.0,58,58.0,58.0,2021-02-17,2022-02-11,2023-01-30,D6,,True,103 LIBERTY AVENUE,bin,3036750025,3036750025,False,3414073,hdb_bin
321601263,New Building,3. Permitted for Construction,3430200,3014370046,3,2425,PACIFIC STREET,,2023.0,0.0,236,236.0,,2022-08-24,2023-10-24,,D6,FILING HEREWITH TO ERECT A 10-STORY MIX USE BUILDING AS PER PLANS FILED HEREWITH.,False,2425 PACIFIC STREET,bbl,3014370046,3014370046,False,,no_footprint
321525257,Demolition,5. Completed Construction,3426598,3036690007,3,49,SHEFFIELD AVENUE,2018.0,2018.0,3.0,0,-3.0,,2017-12-22,2018-10-09,2018-10-09,H3,THIS JOB IS FILED FOR DEMOLITION OF A 3-STORY BUILDING AT 49 SHEFFIELD AVENUE,True,49 SHEFFIELD AVENUE,bin,3036690007,3036690007,False,3426598,hdb_bin
321525266,Demolition,5. Completed Construction,3426598,3036690007,3,51,SHEFFIELD AVENUE,2018.0,2018.0,3.0,0,-3.0,,2017-12-22,2018-10-15,2018-10-15,H3,THIS JOB IS FILED FOR DEMOLITION OF A 3-STORY BUILDING AT 51 SHEFFIELD AVENUE,True,51 SHEFFIELD AVENUE,bin,3036690007,3036690007,False,3426598,hdb_bin
321525275,Demolition,5. Completed Construction,3426598,3036690007,3,53,SHEFFIELD AVENUE,2018.0,2018.0,2.0,0,-2.0,,2017-12-22,2018-10-24,2018-10-24,H3,THIS JOB IS FILED FOR DEMOLITION OF A 2-STORY BUILDING AT 53 SHEFFIELD AVENUE,True,53 SHEFFIELD AVENUE,bin,3036690007,3036690007,False,3426598,hdb_bin
321538975,Demolition,5. Completed Construction,3083350,3036730004,3,107,WYONA STREET,2017.0,2017.0,1.0,0,-1.0,,2017-05-08,2017-08-16,2017-08-16,C0,,True,107 WYONA STREET,bin,3036730004,3036730004,False,3083350,hdb_bin
321618120,Alteration,5. Completed Construction,3087761,3039460039,3,2783,ATLANTIC AVENUE,2019.0,2017.0,2.0,2,0.0,2.0,2017-07-10,2017-12-13,2019-07-26,K4,MODIFY THE CERTIFICATE OF OCCUPANCY TO REFLECT THE EXISTING DRINKING AND EATING FACILITY IN THE CELLAR AND FIRST FLOOR.,True,2783 ATLANTIC AVENUE,bin,3039460039,3039460039,False,3087761,hdb_bin
321621937,New Building,3. Permitted for Construction,3424449,3039850001,3,395,CLEVELAND STREET,,2023.0,0.0,3,3.0,,2017-07-14,2023-05-08,,C0,,False,395 CLEVELAND STREET,bin,3039850001,3039850001,False,3424449,hdb_bin
321621946,New Building,3. Permitted for Construction,3429478,3039850003,3,389,CLEVELAND STREET,,2023.0,0.0,3,3.0,,2017-07-14,2023-04-28,,C0,,False,389 CLEVELAND STREET,bbl,3039850003,3039850003,False,,no_footprint
321623463,New Building,5. Completed Construction,3425600,3015740019,3,6,HAVENS PLACE,2019.0,2018.0,0.0,6,6.0,6.0,2017-08-03,2018-05-02,2019-11-01,C2,,True,6 HAVENS PLACE,bin,3015740019,3015740019,False,3425600,hdb_bin
321628253,Demolition,5. Completed Construction,3088177,3039590011,3,195,HIGHLAND PLACE,2021.0,2021.0,2.0,0,-2.0,,2019-11-01,2021-09-16,2021-09-16,M9,FULL DEMOLITION OF A TWO STORY RESIDENTIAL BUILDING.FENCE FILED UNDER SEPARATED APPLICATION.,True,195 HIGHLAND PLACE,bin,3039590011,3039590011,False,3088177,hdb_bin
321633103,New Building,5. Completed Construction,3427302,3015740021,3,14,HAVENS PLACE,2019.0,2018.0,0.0,7,7.0,7.0,2017-08-03,2018-04-26,2019-11-01,C1,,True,14 HAVENS PLACE,bin,3015740021,3015740021,False,3427302,hdb_bin
321635637,New Building,5. Completed Construction,3426568,3040060013,3,820,GLENMORE AVENUE,2020.0,2019.0,0.0,79,79.0,79.0,2017-08-09,2019-01-16,2020-09-09,D3,,True,820 GLENMORE AVENUE,bin,3040060013,3040060013,False,3426568,hdb_bin
321696928,New Building,5. Completed Construction,3083379,3036740016,3,2746,FULTON STREET,2020.0,2019.0,0.0,9,9.0,9.0,2017-12-22,2019-01-02,2020-01-24,C7,,True,2746 FULTON STREET,bin,3036740016,3036740016,False,3083379,hdb_bin
321642273,New Building,5. Completed Construction,3429915,3036730014,3,2718,FULTON STREET,2024.0,2020.0,0.0,0,0.0,102.0,2017-08-18,2020-06-29,2024-07-30,H3,,True,2718 FULTON STREET,bin,3036730014,3036730014,False,3429915,hdb_bin
321646215,New Building,5. Completed Construction,3428771,3041570032,3,975,LIBERTY AVENUE,2020.0,2018.0,0.0,41,41.0,41.0,2017-09-01,2018-08-01,2020-06-04,D7,,True,975 LIBERTY AVENUE,bin,3041570032,3041570032,False,3428771,hdb_bin
